V,Libelle GEN,Libelle ROME,Code ROME,score
Na,Administrateur réseau,Administrateur / Administratrice réseau informatique,M1801,49
Na,Administrateur réseau,Administrateur / Administratrice réseaux - télécoms,M1801,78
Na,Administrateur réseau,Administrateur / Administratrice système et réseaux d'information et de communication,M1801,0
Na,Développeur Web,Développeur / Développeuse web,M1805,90
Na,Développeur Web,Développeur / Développeuse web mobile,M1805,53
Na,Développeur Web,Développeur / Développeuse multimédia,M1805,1
Na,Expert systèmes et réseaux,Expert / Experte système et réseaux,M1802,74
Na,Expert systèmes et réseaux,Expert / Experte système d'exploitation,M1802,30
Na,Expert systèmes et réseaux,Expert / Experte réseaux et télécoms,M1802,16
Na,Médiateur numérique,Responsable d'espace de médiation numérique,G1202,71
Na,Médiateur numérique,Conseiller médiateur / Conseillère médiatrice en numérique,G1202,12
Na,Médiateur numérique,Médiateur interculturel / Médiatrice interculturelle,K1204,15
Na,Product Owner,Product Owner,M1806,96
Na,Product Owner,Product manager,M1703,18
Na,Product Owner,Producteur / Productrice télévision,L1302,4
Na,Technicien système et réseau,Expert / Experte système et réseaux,M1802,49
Na,Technicien système et réseau,Ingénieur / Ingénieure système réseau informatique,M1802,60
Na,Technicien système et réseau,Technicien / Technicienne système informatique,M1810,57
Na,Chargé e-commerce,Chargé / Chargée de clientèle e-commerce,M1704,71
Na,Chargé e-commerce,Chargé / Chargée d'affiliation et de partenariats e-commerce,M1705,44
Na,Chargé e-commerce,Responsable e-commerce,M1707,79
Na,Infographiste,Infographiste,E1205,88
Na,Infographiste,Infographiste intégrateur / intégratrice,E1205,83
Na,Infographiste,Infographiste en multimédia,E1205,72
Na,Administrateur système et réseau,Administrateur / Administratrice système et réseaux d'information et de communication,M1801,69
Na,Administrateur système et réseau,Administrateur / Administratrice système informatique,M1801,37
Na,Administrateur système et réseau,Administrateur / Administratrice réseaux - télécoms,M1801,42
Na,Expert SEO,Expert / Experte juridique,K1903,36
Na,Expert SEO,Expert / Experte en olfactométrie,H1505,35
Na,Expert SEO,Expert-comptable / Experte-comptable,M1202,52
Na,Conseiller support technique,Technicien / Technicienne support technique,H1101,31
Na,Conseiller support technique,Ingénieur / Ingénieure support technique,H1101,44
Na,Conseiller support technique,Expert / Experte support technique,H1101,7
Na,Technicien data,Data scientist,M1403,39
Na,Technicien data,Développeur / Développeuse Big Data,M1805,27
Na,Technicien data,Data manager,M1802,28
Na,Coordinateur de projet,Coordinateur / Coordinatrice projet en Maîtrise d'Ouvrage -MOA-,M1806,65
Na,Coordinateur de projet,Coordinateur / Coordinatrice de déchetterie,K2302,25
Na,Coordinateur de projet,Coordinateur / Coordinatrice de soudage,H1404,36
Na,Développeur machine learning,Opérateur / Opératrice sur machines automatisées de développement photographique,E1203,50
Na,Chef de projet digital,Chef de produit digital,M1703,97
Na,Chef de projet digital,Automaticien / Automaticienne chef de projet,H1208,32
Na,Chef de projet digital,Assistant / Assistante chef de projet,M1605,26
Na,Délégué à la protection des données (DPD),Délégué / Déléguée à la protection des données - Data Protection Officer,K1903,65
Na,Délégué à la protection des données (DPD),Délégué / Déléguée à la protection des personnes et de leurs biens,K1102,14
Na,Délégué à la protection des données (DPD),Mandataire judiciaire à la protection des majeurs,K1102,12
Na,Chef de projet technique,Automaticien / Automaticienne chef de projet,H1208,15
Na,Chef de projet technique,Assistant / Assistante chef de projet,M1605,36
Na,Chef de projet technique,Designer-chef / Designeuse-chef de projet,H1204,51
Na,Technicien réseau,Technicien / Technicienne réseau informatique,M1810,87
Na,Technicien réseau,Technicien / Technicienne réseaux et télécommunications d'entreprise,I1307,73
Na,Technicien réseau,Technicien / Technicienne réseau de transmission de données aux armées,M1807,91
Na,Chef de projet agile,Automaticien / Automaticienne chef de projet,H1208,5
Na,Chef de projet agile,Assistant / Assistante chef de projet,M1605,48
Na,Chef de projet agile,Designer-chef / Designeuse-chef de projet,H1204,3
Na,Data Miner,Data miner,M1403,77
Na,Data Miner,Data scientist,M1403,21
Na,Data Miner,Développeur / Développeuse Big Data,M1805,25
Na,Administrateur Système d'information,Administrateur / Administratrice système et réseaux d'information et de communication,M1801,32
Na,Administrateur Système d'information,Administrateur / Administratrice Systèmes d'Information Géographique -SIG-,M1808,47
Na,Administrateur Système d'information,Administrateur / Administratrice système informatique,M1801,72
Na,Développeur Web / Mobile,Développeur / Développeuse web mobile,M1805,97
